"startpoint";"replicata_export_date";"parent";"id";"type";"title"
"Startpoint";"Export date";"Parent";"Identifier";"Content type";"Title"
"/urbanisme/portal_urban/persons_grades";20090101010101;;"agent-voirie";"UrbanVocabularyTerm";"Agent voirie"
"/urbanisme/portal_urban/persons_grades";20090101010102;;"agent-admin";"UrbanVocabularyTerm";"Agent administratif"
"/urbanisme/portal_urban/persons_grades";20090101010103;;"agent-tech";"UrbanVocabularyTerm";"Agent technique"
"/urbanisme/portal_urban/persons_grades";20090101010104;;"agent-env";"UrbanVocabularyTerm";"Agent environnement"
"/urbanisme/portal_urban/persons_grades";20090101010105;;"echevin";"UrbanVocabularyTerm";"Echevin"
