Workflow,State,Permission,Roles
codt_buildlicence_workflow,obsolete,urban: Add Corporation,
codt_buildlicence_workflow,obsolete,Modify portal content,"Contributor, Editor, Manager, AddressEditor"
codt_buildlicence_workflow,obsolete,urban: Add Couple,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,urban: Add PortionOut,"AddressEditor, Manager"
codt_buildlicence_workflow,obsolete,Add portal content,"Contributor, Editor, Manager, Reader"
codt_buildlicence_workflow,obsolete,Access contents information,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,obsolete,urban: Add UrbanEventOpinionRequest,"Contributor, Editor, Manager"
codt_buildlicence_workflow,refused,Review portal content,"Reviewer, Contributor, Manager"
codt_buildlicence_workflow,refused,Modify portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Acces contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Modify view template,Manager
codt_buildlicence_workflow,refused,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Delete objects,"Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Add portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,urban: Add CODT_UniqueLicenceInquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,View,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Access contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,refused,Manage properties,"Contributor, Editor, Manager"
codt_buildlicence_workflow,deposit,Review portal content,"Reviewer, Contributor, Manager"
codt_buildlicence_workflow,deposit,Modify portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,Acces contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,Modify view template,Manager
codt_buildlicence_workflow,deposit,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,Delete objects,"Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,Add portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,urban: Add CODT_UniqueLicenceInquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,deposit,View,"Reader, Editor, Contributor, Manager"
